song,lyrics,genre
Sabotage,"I can't stand it, I know you planned itI'ma set it straight, this WatergateI can't stand rockin' when I'm in here'Cause your crystal ball ain't so crystal clearSo while you sit back and wonder whyI got this fuckin' thorn in my sideOh my god, it's a mirageI'm tellin' y'all, it's sabotage So, so, so, so listen up, 'cause you can't say nothin'You'll shut me down with a push of your buttonBut, yo, I'm out and I'm goneI'll tell you now, I keep it on and on 'Cause what you see, you might not getAnd we can bet, so don't you get souped yetScheming on a thing, that's a mirageI'm trying to tell you now, it's sabotage Why?(Our backs are now against the wall)(Listen all y'all, it's a sabotage)(Listen all y'all, it's a sabotage)(Listen all y'all, it's a sabotage)(Listen all y'all, it's a sabotage) I can't stand it, I know you planned itI'ma set it straight, this WatergateBut I can't stand rockin' when I'm in this placeBecause I feel disgrace because you're all in my faceBut make no mistakes and switch up my channelI'm Buddy Rich when I fly off the handleWhat could it be, it's a mirageYou're scheming on a thing, that's sabotage",hip-hop
Don't Phunk with My Heart,"No, no, no, no, don't phunk with my heartYeahNo, no, no, no, don't phunk with my heart I wonder if I take you homeWould you still be in love, baby (love, love)In love baby (love, love)I wonder if I take you homeWould you still be in love, baby (love, love)In love baby (love, love) Girl, you know you got me, got meWith your pistol shot me, shot meAnd I'm here helplesslyIn love and nothing can stop meIt can't stop me once I startedCan't return me once you bought itI'm coming baby, don't got it (don't make me wait)So let's be about it No, no, no, noDon't phunk with my heart Baby, have some trustin', trustin'When I come in lustin', lustin'Cause I'll bring you that comfortI ain't only here cause I want yourBody, I want your mind tooInterestin's what I find youAnd I'm interested in the long haulCome on girl (yee-haw) I wonder if I take you homeWould you still be in love, baby (love, love)In love baby (love, love)I wonder if I take you homeWould you still be in love, baby (love, love)In love baby (love, love) No, no, no, noDon't phunk with my heart Girl, you had me, once you kissed meMy love for you is not iffyI always want you wit meI'll play Bobby and you'll play Whitney (all long)If you smoke, I smoke tooThat's how much I'm in love wit chuCrazy is what crazy doCrazy in love, I'm a crazy fool No, no, no, noDon't phunk with my heart Why are you so in-sa-cure?When you got passionate love hurr?You always claimin' I'm a cheaterThink I'll up and go leave yaFor another señoritaYou forgot that I need yaYou must have caught amnesiaThat's why you don't believe whaWha'- yeah - check it out Don't you worry about a thing, babyCause you know you got me by a string, babyDon't you worry about a thing, babyCause you know you got me by a string, baby Baby girl, you make me feelYou know you make me feel so realI love you more than sex appeal(Cause you're) That-tha, that tha, that-tha, that girlThat-tha, that tha, that-tha, that girlThat-tha, that tha, that-tha, that girlThat-tha, that tha, that-tha, that girlThat-tha, that tha, that-tha, that girlThat-tha, that tha, that-tha, that girl No, no, no, no (that-that-that-that-that-that-girl)Don't phunk with my heart (that-that-that-that-that-that-girl)No, no, no, noDon't phunk with my heart I wonder if I take you homeWould you still be in love, baby (love, love)In love baby (love, love)I wonder if I take you homeWould you still be in love, baby (love, love)In love baby (love, love)I wonder if I take you homeWould you still be in love, baby (love, love)In love baby (love, love)I wonder if I take you homeWould you still be in love, baby (love, love)In love baby (love, love) Don't you worry about a thing, babyCause you know you got me by a string, babyDon't you worry about a thing, babyCause you know you got me by a string, baby",hip-hop
My Humps,"What you gonna do with all that junk?All that junk inside your trunk? I'ma get, get, get, get you drunkGet you love drunk off my humpMy hump, my hump; my hump, my hump, my humpMy hump, my hump, my hump, my lovely little lumps Check it out I drive these brothers crazyI do it on the dailyThey treat me really nicelyThey buy me all these iceDolce and GabbanaFendi and MadonnaCaring they be sharingAll their money got me wearing flyWhether I ain't askingThey say they love mah ass inSeven jeansTrue religionI say noBut they keep givingSo I keep on takingAnd no I ain't takingWe can keep on datingNow keep on demonstrating My love, my love, my love, my loveYou love my lady lumpsMy hump, my hump, my humpMy humps they got you She's got me spending Oh, spending all your money on meAnd spending time on me She's got me spending Oh, spending all your money on meUh on me on me What you gonna do with all that junk?All that junk inside that trunk? I'm a get, get, get, get you drunkGet you love drunk off my hump What you gonna do with all that assAll that ass inside our jeans I'm a make, make, make, make you screamMake you scream make you scream 'Cause of my humps; my hump, my hump, my humpMy hump, my hump, my hump, my lovely lady lumps Check it out I met a girl down at the discoShe said hey hey hey ya lets goI can be ya baby, you could be my honeyLet's spend time not moneyAnd mix your milk with my coco puffMilky, milky cocoMix your milk with my coco puffMilky, milkyRight They say I'm really sexyThe boys they wanna sex meThey always standing next to meAlways dancing next to meTrying a feel my hump, humpLookin' at my lump, lumpYou can look but you can't touch itIf you touch itI'm a start some dramaYou don't want no dramaNo no drama no no no no dramaSo don't pull on my hand boyYou ain't my man boyI'm just trying a dance boy And move my humpMy hump; my hump, my hump, my humpMy hump, my hump, my hump, my hump, my hump, my humpMy lovely lady lumpsMy lovely lady lumps, my lovely lady lumpsIn the back and in the front My loving got you She's got me spending Oh, spending all your money on meAnd spending time on me She's got me spending Oh, spending all your money on meUh on me on me Whatcha gonna do with all that junk?All that junk inside that trunk? I'm a get, get, get, get you drunkGet you love drunk off my hump What you gonna do with all that breastAll that breast inside your shirt I'm a make, make, make, make you workMake you work, work make you work Ah ha, ah ha, ah ha, ahhaAh ha, ah ha, ah ha, ahhaAh ha, ah ha, ah ha, ahhaAh ha, ah ha, ah ha, ahhaAh ha She's got me spending Oh, spending all your money on meAnd spending time on me She's got me spending Oh, spending all your money on meUh, on me, on me",hip-hop
Pump It,"Ha, ha, haaaaPump itHa, ha, haaaa And pump it (louder)Pump it (louder)Pump it (louder)Pump it (louder) Turn up the radioBlast your stereoRight (Ha, ha, ha) Niggas wanna hate on us (who?)Niggas be envious (who?)And I know why they hating on us (why?)Cause that's so fabulous (what?) I'ma be real on us (c'mon)Nobody got nothing on us (no)Girls be all on usFrom London back down to the US (s, s) We rockin' this (contagious)Monkey business (outrageous)Just confess, your girl admits that we the shit F-R-E-S-H we (fresh)D-E-F, that's right we def (rock)We definite, B-E-P we reppin' itSo Turn me up (turn it up)Turn me up (turn it up)Turn me up (turn it up)Come on baby just Pump it (louder)Pump it (louder)Pump it (louder)Pump it (louder)Pump it (louder)Pump it (louder) And say, oh oh oh ohSay, oh oh oh ohYo, yo Turn up the radioBlast your stereoRight nowThis joint is fizzlin'It's sizzlin'Right Yo check this out right hereDude wanna hate on us (dude)Dude need to ease on up (dude)Dude wanna act on up But dude get shut like flava shut (down)Chick say she ain't downBut chick backstage when we in town (ha)She like man on drum (boom) She wanna hit n' run (err)Yeah, that's the speedThat's who we doThat's who we be B-L-A-C-K E-Y-E-D P to the EThen the A to the SWhen we play you shake your assShake it, shake it, shake it girlMake sure you don't break it, girlCause we gonna Turn it up (turn it up)Turn it up (turn it up)Turn it up (turn it up) Come on baby just Pump it (louder)Pump it (louder)Pump it (louder)Pump it (louder)Pump it (louder)Pump it (louder) And say, oh oh oh ohSay, oh oh oh ohYo, yoTurn up the radio Blast your stereoRight nowThis joint is fizzlin'It's sizzlin'Right Damn (dayum)Damn (dayum)Damn (dayum)Damn (dayum) (Oh)Damn (dayum) (Oh) Apl.De.Ap from the PhilippinesLive and direct, rocking this sceneBreaking on down for the B-boysAnd B-girls waiting to do they thing Pump it, louder come onDon't stop, and keep it goin'Do it, let's get it onMove it! Come on, baby, do it (Ha) La-da-di-da-da-di-dyOn the stere-ere-ere-ere-o (Ha)Let those speakers blow your mind(Blow my mind baby) Just let it go, let it goHere we go (ha)La-da-di-da-da-di-dy (come on, yeah)On the radi-adi-adi-adi-o (ha)The system's gonna feel so fi-i-i-i-i-i-ine(I'm fine, yeah, I'm fine and you?) Pump it (louder)Pump it (louder)Pump it (louder)Pump it (louder)Pump it (louder)Pump it (louder) And say, oh oh oh ohSay, oh oh oh ohYo, yoTurn up the radio Blast your stereoRight now (ha)This joint is fizzlin'It's sizzlin'Right",hip-hop
Gangsta's Paradise,"As I walk through the valley of the shadow of deathI take a look at my life and realize there's nothin' left'Cause I've been blasting and laughing so long thatEven my mamma thinks that my mind is goneBut I ain't never crossed a man that didn't deserve itMe be treated like a punk, you know that's unheard ofYou better watch how you talking, and where you walkingOr you and your homies might be lined in chalkI really hate to trip but I gotta, locAs they croak I see myself in the pistol smoke, foolI'm the kinda G that little homies want to be likeOn my knees in the night, saying prayers in the street light They've been spending most their lives living in the gangsta's paradiseThey've been spending most their lives living in the gangsta's paradiseWe keep spending most our lives living in the gangsta's paradiseWe keep spending most our lives living in the gangsta's paradise Look at the situation they got me facin'I can't live a normal life, I was raised by the streetSo I gotta be down with the hood teamToo much television watching got me chasing dreamsI'm a educated fool with money on my mindGot my ten in my hand and a gleam in my eyeI'm a loc'ed-out gangsta, set-trippin' bangerAnd my homies is down, so don't rouse my anger – foolDeath ain't nothing but a heartbeat awayI'm living life, do or die, what can I say?I'm twenty-three, never will I live to see twenty-fourThe way things is goin', I don't know Tell me why are we so blind to seeThat the ones we hurt are you and me? They've been spending most their lives living in the gangsta's paradiseThey've been spending most their lives living in the gangsta's paradiseWe keep spending most our lives living in the gangsta's paradiseWe keep spending most our lives living in the gangsta's paradise Power and the money, money and the powerMinute after minute, hour after hourEverybody's running, but half of them ain't looking what's going on in the kitchenBut I don't know what's cookingThey say I've got to learn but nobody's here to teach meIf they can't understand it, how can they reach me?I guess they can't, I guess they won'tI guess they front, that's why I know my life is out of luck, fool They've been spending most their lives living in the gangsta's paradiseThey've been spending most their lives living in the gangsta's paradiseWe keep spending most our lives living in the gangsta's paradiseWe keep spending most our lives living in the gangsta's paradise Tell me why are we so blind to seeThat the ones we hurt are you and me?Tell me why are we so blind to seeThat the ones we hurt are you and me?",hip-hop
Insane in the Brain,"Who you tryin' to get crazy with ése?Don't you know I'm loco? To the one on the flamboyant tipI'll just toss that ham in the frying panLike spam, feel done when I come in slamDamn, I feel like the Son of Sam Don't make me wreck shit, hecticNext get the chair got me goin' like General ElectricAnd the lights are blinkin', I'm thinkin'It's all over when I go out drinkin' Oh, makin' my mind slowThat's why I don't fuck with the big four, ohBro, I got to maintain'Cause a nigga like me is goin' insane Insane in da membrane(Insane in the brain)Insane in da membrane(Insane in the brain)Insane in da membrane(Crazy insane, got no brain)Insane in da membrane(Insane in the brain) Do my shit undercover now it's time for the blubbaBlabber, to watch that belly get fatterFat boy on a diet, don't try itI'll jack your ass like a looter in a riot My shit's fat like a sumo, slammin dat assLeavin' your face in the grass'Cause you know, I don't take a chulo, lightlyPunks just jealous 'cause they can't outwrite me Or kick that style, wicked, wildHappy face nigga never seen me smileRip dat main frame, I'll explainA nigga like me is goin' insane Insane in da membrane(Insane in the brain)Insane in da membrane(Insane in the brain)Insane in da membrane(Crazy insane, got no brain)Insane in da membrane(Insane in the brain) Insane in the brain (in the brain)It's because I'm locoInsane in the brain (in the brain)It's because I'm locoInsane in the brain (in the brain)Insane (it's because I'm loco)Insane in the brainDon't shot me, boyLike Louie Armstrong played the trumpetI'll hit that bong and break ya off somethin' soonI got ta get my propsCops, come and try to snatch my crops These pigs wanna blow my house downHead underground to the next townThey get mad when they come to raid my padAnd I'm out in the nine deuce Cad Yes, I'm the pirate, pilot of this shipIf I get with the ultraviolet dreamHide from the red light beamNow do you believe in the unseen?Look, but don't make you eyes strainA nigga like me is goin insane Insane in da membrane(Insane in the brain)Insane in da membrane(Insane in the brain)Insane in da membrane(Crazy insane, got no brain)Insane in da membrane(Insane in the brain) Insane in the brainIt's because I'm locoInsane in the brainIt's because I'm loco Insane in the brainIt's because I'm locoInsane in the brainIt's because I'm loco",hip-hop
Still D.R.E.,"Yeah nigga, I'm still fuckin' wit' yaStill waters run deepStill Snoop Dogg and D-R-E'99 nigga (Guess who's back)Still, still doing that shit, Andre? Oh for sho', check me out It's still Dre Day nigga, A.K. niggaThough I've grown a lot, can't keep it home a lotCause when I frequent the spots that I'm known to rockYou hear the bass from the truck when I'm on the blockLadies, they pay homage, but haters say Dre fell offHow nigga? My last album was """"The Chronic"""" (nigga)They want to know if he still got itThey say rap's changed, they want to know how I feel about it If you ain't up on thangs Dr. Dre is the name, I'm ahead of my gameStill, puffing my leafs, still fuck with the beatsStill not loving police (Uh huh)Still rock my khakis with a cuff and a crease (fo sho)Still got love for the streets, repping 213 (fo life)Still the beats bang, still doing my thangSince I left, ain't too much changed, still I'm representing for them gangstas all across the world(Still) Hitting them corners on the lolos girlStill taking my time to perfect the beatAnd I still got love for the streets, it's the D-R-E I'm representing for them gangstas all across the world(Still) Hitting them corners on the lolos girlStill taking my time to perfect the beatAnd I still got love for the streets, it's the D-R-E Since the last time you heard from me I lost some friendsWell, hell, me and Snoop, we dipping againKept my ear to the streets, signed EminemHe's triple platinum, doing 50 a weekStill, I stay close to the heatAnd even when I was close to defeat, I rose to my feetMy life's like a soundtrack I wrote to the beatTreat my rap like Cali weed, I smoke til I sleepWake up in the A.M., compose a beatI bring the fire till you're soaking in your seatIt's not a fluke, it's been tried, I'm the truthSince """"Turn Out the Lights"""" from the World Class Wreckin' CruI'm still at it, after-mathematicsIn the home of drive-bys and ak-maticsSwap meets, sticky green, and bad trafficI dip through then I get skin, D-R-E I'm representing for them gangstas all across the world(Still) Hitting them corners on the lolos girlStill taking my time to perfect the beatAnd I still got love for the streets, it's the D-R-E I'm representing for them gangstas all across the world(Still) Hitting them corners on the lolos girlStill taking my time to perfect the beatAnd I still got love for the streets, it's the D-R-E It ain't nothing but more hot shitAnother classic CD for y'all to vibe withWhether you're cooling on a corner with your fly bitchLaid back in the shack, play this trackI'm representing for the gangstas all across the worldStill (Hitting them corners on the low-low's girl)I'll break your neck, damn near put your face in your lapNiggas try to be the king but the ace is back So if you ain't up on thangs Dr. Dre be the name still running the gameStill, got it wrapped like a mummyStill ain't tripping, love to see young blacks get moneySpend time out the hood, take they moms out the hoodHit my boys off with jobs, no more living hardBarbeques every day, driving fancy carsStill gon' get mine regardless I'm representing for them gangstas all across the world(Still) Hitting them corners on the lolos girlStill taking my time to perfect the beatAnd I still got love for the streets, it's the D-R-E I'm representing for them gangstas all across the world(Still) Hitting them corners on the lolos girlStill taking my time to perfect the beatAnd I still got love for the streets, it's the D-R-E Right back up in ya motherfucking ass9-5 plus four pennies!Add that shit up, D-R-E right back up on top of thangsSmoke some with your dogNo stress, no seeds, no stems, no sticks!Some of that real sticky icky ickyOooh wee! Put it in the airOh you's a fool D.R",hip-hop
Best I Ever Had,"You know alot of girls beThinkin' my songs are about them, butThis is not to get confusedThis one's for you Baby, you my everythingYou all I ever wantedWe could do it real bigBigger than you ever done itYou be up on everythingOther hoes ain't ever on itI want this foreverI swear I can spend whatever on it 'Cause she hold me downEvery time I hit her upWhen I get rightI promise that we gon' live it upShe made me beg for it'Til she give it upAnd I say the same thing every single time I say you the fuckin' best (ayy)You the fuckin' best (ayy)You the fuckin' best (ayy)You the fuckin' best (ayy)You the best I ever had (ayy)Best I ever had (ayy)Best I ever had (ayy)Best I ever hadI say you the fuckin'- Know you got a roommateCall me when there's no one therePut the key under the mat and you know I'll be over there (yup)I'll be over thereShorty, I'll be over thereI'll be hittin' all the spots that you ain't even know was there Ha, and you don't even have to ask twiceYou could have my heart or we can share it like the last sliceAlways felt like you was so accustomed to the fast lifeHave a nigga thinkin' that he met you in a past life Sweatpants hair tied chillin' with no make-up onThat's when you're the prettiestI hope that you don't take it wrongYou don't even trip when friends say you ain't bringin' Drake alongYou know that I'm workin', I'll be there as soon as I make it home And she a patient in my waitin' roomNever pay attention to the rumors and what they assumeAnd until them girls prove itI'm the one that never get confused with, 'cause Baby, you my everythingYou all I ever wantedWe could do it real bigBigger than you ever done itYou be up on everythingOther hoes ain't ever on itI want this foreverI swear I can spend whatever on it 'Cause she hold me downEvery time I hit her upWhen I get rightI promise that we gon' live it upShe made me beg for it'Til she give it upAnd I say the same thing every single time I say you the fuckin' best (ayy)You the fuckin' best (ayy)You the fuckin' best (ayy)You the fuckin' best (ayy)You the best I ever had (ayy)Best I ever had (ayy)Best I ever had (ayy)Best I ever had (ayy)I say you the fuckin'- Sex, love, pain, baby I be on that Tank shitBuzz so big I could probably sell a blank discWhen my album drop, bitches'll buy it for the pictureAnd niggas'll buy it too and claim they got it for their sisterMagazine, paper girl, but money ain't the issueThey bring dinner to my room and ask me to initialShe call me """"The Referee"""" 'cause I be so officialMy shirt ain't got no stripes but I can make your pussy whistle Like the Andy Griffith theme songAnd who told you to put them jeans on?Double cup love, you the one I lean onFeelin' for a fix, then you should really get your fiend on Yeah, just know my condo is the crack spotEvery single show she out there reppin' like a mascotGet it from the back and make your fuckin' bra strap popAll up in your slot 'til a nigga hit the jackpot, I'm sayin' Baby, you my everythingYou all I ever wantedWe could do it real bigBigger than you ever done itYou be up on everythingOther hoes ain't ever on itI want this foreverI swear I can spend whatever on it 'Cause she hold me downEvery time I hit her upWhen I get rightI promise that we gon' live it upShe made me beg for it'Til she give it upAnd I say the same thing every single time I say you the fuckin' best (ayy)You the fuckin' best (ayy)You the fuckin' best (ayy)You the fuckin' best (ayy)You the best I ever had (ayy)Best I ever had (ayy)Best I ever had (ayy)Best I ever had (ayy) I say you the fuckin' best (ayy)You the fuckin' best (ayy)You the fuckin' best (ayy)You the fuckin' best (ayy)You the best I ever had (ayy)Best I ever had (ayy)Best I ever had (ayy)Best I ever had UhOh, yeahSee, this the type of joint you got to dedicate to somebodyJust make sure they that special somebodyYoung MoneyYeah, yeahYou know who you areI got you",hip-hop
Killing Me Softly,"Strumming my pain with his fingersSinging my life with his wordsKilling me softly with his songKilling me softly with his songTelling my whole life with his wordsKilling me softly with his song (Ah!) Yooo! (Yeah! Yeah!)This is Wyclef, Refugee Camp (L-Boogie up in here)Prazrel, (Prazrel up in here! Ha! Ha!)Lil' Base sits up there on the base (Refugees up in here)While I'm on this... I got my girl L (Ah! Ah!)One time, one time, (one time)Ayo, L, you know you got the lyrics I heard he sang a good songI heard he had a styleAnd so I came to see himAnd listen for a whileAnd there he wasThis young boy, stranger to my eyes Strumming my pain with his fingers(One time, one time)Singing my life with his words(Two times, two times)Killing me softly with this songKilling me softly with his songTelling my whole life with his wordsKilling me softly with his song I felt all flushed with feverEmbarrassed by the crowdI felt he found my lettersThen read each one out loudI prayed that he would finishBut he just kept right on Strumming my pain with his fingers(One time, one time)Singing my life with his words(Two times, two times)Killing me softly with his songKilling me softly with his songTelling my whole life with his wordsKilling me softly with his song Yo, L-Boy, take it to the bridge Strumming my pain with his fingersYes he was singing my life with his wordsKilling me softly with his songKilling me softly with his songTelling my whole life with his wordsKilling me softly with his song Strumming my pain yeahSinging my life with his wordsKilling me softly with his songKilling me softly with his songTelling my whole life with his words",hip-hop
Ready or Not,"Ready or not, here I comeYou can't hideGonna find youAnd take it slowlyReady or not, here I comeYou can't hideGonna find youAnd make you want me Now that I escape, sleepwalker awakeThose who could relate know the world ain't cakeJail bars ain't golden gates those who fake, they breakWhen they meet their 400 pound mateIf I could rule the world, everyone would have a gunIn the ghetto of course, when giddyupin' on their horseI kick a rhyme drinkin' moonshineI pour a sip on the concrete, for the deceased But no don't weep, Wyclef's in a state of sleepThinkin' 'bout the robbery, that I did last weekMoney in the bag, banker looked like a dragI want to play with pelicans from here to BaghdadGun blast, think fast, I think I'm hitMy girl pinched my hips to see if I still existI think not, I'll send a letter to my friendsA born again hooligan only to be king again Ready or not, here I comeYou can't hideGonna find youAnd take it slowlyReady or not, here I comeYou can't hideGonna find youAnd make you want me Yo, I play my enemies like a game of chessWhere I rest, no stress, if you don't smoke sess, lestI must confess, my destiny's manifestIn some Goretex and sweats I make treks like I'm homeless Rap orgies with Porgy and BessCapture your bounty like Elliot Ness, yesBless you if you represent the FuBut I'll hex you with some witch's brew if you're Doo Doo Voodoo, I can do what you do, easyBelieve me, frontin' niggas give me heebie-jeebiesSo while you're imitating Al CaponeI'll be Nina Simone and defacating on your microphone Ready or not, here I comeYou can't hideGonna find youAnd take it slowly You can't run awayFrom these styles I got, oh baby, hey, baby'Cause I got a lot, oh, yeahAnd anywhere you goMy whole crew's gonna know, oh baby, hey, babyYou can't hide from the block, oh no Ready or not, refugees takin' overThe Buffalo soldier, dreadlock RastaOn the 12th hour, fly by in my bomberCrews run for cover, now they're under pushin' up flowersSuperfly true lies, do or die (he's super fly)Toss me high, only puff la, with my crew from LakayI refugee from Guantanamo BayDance around the border like I'm Cassius Clay (yes, sir) Ready or not, here I comeYou can't hide (ay, yo nobody move)Gonna find youAnd take it slowlyReady or not, here I comeYou can't hide (ay, yo nobody move)Gonna find youAnd make you want me Ready or not, here I comeYou can't hide (you know the)Gonna find youAnd take it slowlyReady or not, here I comeYou can't hideGonna find youAnd make you want me",hip-hop
Crazy,"I remember whenI remember, I remember when I lost my mindThere was something so pleasant about that placeEven your emotions have an echo in so much spaceAnd when you're out there without careYeah, I was out of touchBut it wasn't because I didn't know enoughI just knew too much Does that make me crazyDoes that make me crazyDoes that make me crazyPossibly And I hope that you are having the time of your lifeBut think twice, that's my only adviceCome on now, who do you, who do you, who do youWho do you think you areHa ha ha, bless your soulYou really think you're in control I think you're crazyI think you're crazyI think you're crazyJust like me My heroes had the heart to lose their lives out on the limbAnd all I remember is thinking I want to be like themEver since I was littleEver since I was little it looked like funAnd it's no coincidence I've comeAnd I can die when I'm done But maybe I'm crazyMaybe you're crazyMaybe we're crazyProbably",hip-hop
Clint Eastwood,"I ain't happy, I'm feeling gladI got sunshine in a bagI'm useless but not for longThe future is coming on I ain't happy, I'm feeling gladI got sunshine in a bagI'm useless but not for longThe future is coming onIt's coming on, it's coming onIt's coming on, it's coming on Finally someone let me out of my cageNow time for me is nothin' 'cos I'm counting no ageNow I couldn't be there now you shouldn't be scaredI'm good at repairs and I'm under each snare Intangible (Ah y'all), bet you didn't think soI command you to, panoramic view (You)Look I'll make it all manageablePick and choose, sit and loseAll you different crewsChicks and dudes, who you think is really kicking tunes Picture you getting down and I'll picture tooLike you lit the fuseYou think it's fictional, mystical - maybeSpiritual hero who appears on you to clear your viewWhen you're too crazy Lifeless to those a definition for what life isPriceless to you because I put ya on the hype shiftDid ya like it?Gut smokin' righteous but one talkin' psychicAmong knows possess you with one though I ain't happy, I'm feeling gladI got sunshine in a bagI'm useless but not for longThe future is coming on I ain't happy, I'm feeling gladI got sunshine in a bagI'm useless but not for longThe future (That's right) is coming onIt's coming on, it's coming on, it's coming on, it's coming on The essence, the basics without it you make itAllow me to make this child like in natureRhythm you have it or you don'tThat's a fallacy, I'm in themEvery spiralling tree, every child of peaceEvery cloud I see you see with your eyes I see destruction and demiseCorruption in the skiesFrom this fucking enterprise that I'm sucked into your liesThe Russell that is musclesBut percussion he provides For me I say God, y'all can see me now'Cos you don't see with your eyeYou perceive with your mindThat's the end of itSo I'mma stick around with Russ and be a mentor Bust a few rounds on motherfuckersRemember what the thought isI brought all this so you can survive when law is lawless (Right here)Fearless, sensations that you thought was deadNo squealing, remember that it's all in your head I ain't happy, I'm feeling gladI got sunshine in a bagI'm useless but not for longThe future is coming on I ain't happy, I'm feeling gladI got sunshine in a bagI'm useless but not for longMy future is coming onIt's coming on, it's coming on, it's coming on, it's coming on My futureIt's coming on, it's coming on, it's coming onIt's coming on, it's coming on, my futureIt's coming on, it's coming on, it's coming onIt's coming on, it's coming on, my futureIt's coming on, it's coming on, it's coming on My futureIt's coming on, it's coming on, it's coming onMy futureIt's coming on, it's coming on, it's coming onMy future",hip-hop
Jump Around,"Pack it up, pack it in, let me beginI came to win, battle me that's a sinI won't ever slack up, punk you better back upTry and play the role and yo the whole crew'll act upGet up, stand up (c'mon!) see'mon throw your hands upIf you've got the feeling, jump across the ceilingMuggs lifts a funk flow, someone's talking junkYo I bust him in the eye, and then I'll take the punk's hoeFeelin', funkin', amps in the trunk and I got more rhymesThan there's cops at a Dunkin' Donuts shopSho' nuff, I got propsFrom the kids on the hill plus my mom and my popsI came to get down, I came to get downSo get out your seat and jump around! Jump around!Jump around!Jump around!Jump up, jump up and get down!Jump! Jump! Jump! Jump! (Everybody jump)Jump! Jump! Jump! Jump!Jump! Jump! Jump! Jump! (Everybody jump)Jump! Jump! Jump! Jump!Jump! I'll serve your ass like John McEnroeIf your girl steps up, I'm smacking the hoeWord to your moms, I came to drop bombsI got more rhymes than the Bible's got PsalmsAnd just like the Prodigal Son I've returnedAnyone stepping to me you'll get burned'Cause I got lyrics, but you ain't got noneIf you come to battle bring a shotgun!But if you do you're a fool, 'cause I duel, to the deathTrying to step to me, you'll take your last breathI got the skills, come get your fill'Cause when I shoot the gift, I shoot to killI came to get down, I came to get downSo get out your seat and jump around! Jump around!Jump around!Jump around!Jump up, jump up and get down!Jump! Jump! Jump! Jump! (Everybody jump)Jump! Jump! Jump! Jump!Jump! Jump! Jump! Jump! (Everybody jump)Jump! Jump! Jump! Jump!Jump! I'm the cream of the crop, I rise to the topI never eat a pig, 'cause a pig is a copOr better yet a Terminator, like Arnold SchwarzaneggerTry to play me out like, as if my name was SegaBut I ain't going out like no punk bitchGet used to one style and yo and I might switchIt up up and around, then buck buck you downPut out your head and then you wake up in the Dawn of the DeadI'm coming to get ya, I'm coming to get yaSpitting out lyrics, homie I'll wet yaI came to get down, I came to get downSo get out your seat and jump around! Jump around!Jump around!Jump around!Jump up, jump up and get down!Jump! Jump! Jump! Jump! (Everybody jump)Jump! Jump! Jump! Jump!Jump! Jump! Jump! Jump! (Everybody jump)Jump! Jump! Jump! Jump!Jump! Jump! Jump! Jump! (Everybody jump)Jump! Jump! Jump! Jump!Jump! Jump! Jump! Jump! (Everybody jump)Jump! Jump! Jump! Jump!Jump! Yo, this is dedicated to Joe """"The Biter"""" Nicolo!Grab your Bozack, punk!",hip-hop
It Was A Good Day,"(Break 'em!)Shit!Yo! Juss wakin' up in tha mornnin', gotta thank GodI don't know but today seems kinda oddNo barkin' from the dog, no smogAnd momma cooked a breakfast with no hogI got my grub on, but didn't pig outFinally got a call from a girl I wanna dig outHooked it up fo' later as I hit the do'Thinkin', """"Will I live another twenty-fo'?""""I gotta go 'cause I got me a drop topAnd if I hit the switch, I can make the ass dropHad to stop, at a red lightLookin' in my mirror, not a jacker in sight And everything is alrightI got a beep from Kym, and she can fuck all nightCalled up the homies and I'm akksin' y'allWhich park, are y'all playin' basketball?Get me on the court and I'm troubleLast week fucked around and got a triple-doubleFreakin' niggas every way like M.J.I can't believe, today was a good day (Shit!) Drove to the pad, and hit the showersDidn't even get no static from them cowards'Caus jus' yesterday, dem fools tried ta blast meSaw da police, and they rolled right past meNo flexin', didn't even look in a nigga's directionAs I ran the intersectionWent to Short Dog's house, they was watchin' Yo! MTV Raps What's the 'haps on the craps?Shake 'em up, shake 'em up, shake 'em up, shake 'em!Roll 'em in a circle of niggas, and watch me break 'emWit' tha seven, seven-eleven, seven-elevenSeven, even Back Do' Lil' JoeI picked up the cash flowThen we played bones, and I'm yellin' """"Domino!""""Plus nobody I know got killed in South Central L.A.Today was a good day(Shit!) Left my nigga's house paidPicked up a girl been tryynta fuck since the twelth gradeIt's ironic, I had the brew, she had the chronicThe Lakers beat the SupersonicsI felt on her big fat fannyPulled out the jammy and killed the punanniAnd my dick runs deep, so deep, so deepPut her ass to sleepWoke her up around oneShe didn't hesitate to call Ice Cube the top gunDrove her to the pad and I'm coastin'Took another sip of the potion, hit the three-wheel motion I was glad everything had worked outDropped her ass off, and then chirped outToday was like one of those fly dreams Didn't even see a Barry flashin' those high beamsNo helicopter looking for a murderTwo in tha mornnin', got tha Fat Burger Even saw the lights of the Goodyear BlimpAnd it read, """"Ice Cube's a pimp!""""Drunk as hell, but no thowwin' upHalfway home, and my pager's still blowwin' upToday, I diddn't even havvta use my AKI gotta say it was a good day(Shhhhit!)",hip-hop
