song,lyrics,genre
Bad Things,"When you came in, the air went outAnd every shadow filled up with doubt I don't know who you think you areBut before the night is throughI wanna do bad things with you I'm the kind to sit up in his roomHeartsick and eyes filled up with blue I don't know what you've done to meBut I know this much is trueI wanna do bad things with you Okay When you came in, the air went outAnd all those shadows there, are filled up with doubtI don't know who you think you areBut before the night is throughI wanna do bad things with you I wanna do real bad things with youOw... ooh! I don't know what you've done to meBut I know this much is trueI wanna do bad things with you I wanna do real bad things with you",country
"Take Me Home, Country Roads","Almost heaven, West VirginiaBlue ridge mountains, Shenandoah riverLife is old there, older than the treesYounger than the mountains, growin' like a breeze Country roads, take me homeTo the place I belongWest Virginia, mountain mommaTake me home, country roads All my memories, gather 'round herMiner's lady, stranger to blue waterDark and dusty, painted on the skyMisty taste of moonshine, teardrop in my eye Country roads, take me homeTo the place I belongWest Virginia, mountain mommaTake me home, country roads I hear her voice, in the mornin' hour she calls meThe radio reminds me of my home far awayDrivin' down the road I get a feelin'That I should have been home yesterday, yesterday Country roads, take me homeTo the place I belongWest Virginia, mountain mommaTake me home, country roads Country roads, take me homeTo the place I belongWest Virginia, mountain mommaTake me home, country roads Take me home, (down) country roadsTake me home, (down) country roads",country
A Boy Named Sue,"Well, my daddy left home when I was threeAnd he didn't leave much to ma and meJust this old guitar and a empty bottle of boozeNow, I don't blame him 'cause he run and hidBut the meanest thing that he ever didWas before he left, he went and named me Sue Well, he musta thought that was quite a jokeAnd it got a lot of laughs from a' lots of folkIt seems I had to fight my whole life throughSome gal would giggle and I'd get redAnd some guy'd laugh and I'd bust his headI tell ya, life ain't easy for a boy named Sue Well, I grew up quick and I grew up meanMy fist got hard and my wits got keenI'd roam from town to town to hide my shameBut I made me a vow to the moon and starsI'd search the honkytonks and barsAnd kill that man that give me that awful name Well, it was Gatlinburg in mid JulyAnd I just hit town and my throat was dryI thought I'd stop and have myself a brewAt an old saloon on a street of mudThere at a table, dealin' studSat the dirty, mangy dog that named me Sue Well, I knew that snake was my own sweet dadFrom a worn out picture that my mother'd hadAnd I knew that scar on his cheek and his evil eyeHe was big and bent, and gray and oldAnd I looked at him, and my blood ran coldAnd I said, """"My name is Sue! How do you do?Now you gonna die""""Yeah! That's what I told him Well, I hit him hard right between the eyesAnd he went down, but to my surpriseHe come up with a knife, and cut off a piece of my earBut I busted a chair right across his teethAnd we crashed through the wall and into the streetKickin' and a' gougin' in the mud and the blood and the beer I tell ya, I've fought tougher menBut I really can't remember whenHe kicked like a mule and he bit like a crocodileI heard him laugh and then I heard him cussAnd he went for his gun and I pulled mine firstHe stood there lookin' at me and I saw him smile And he said, """"Son, this world is roughAnd if a man's gonna make it, he's gotta be toughAnd I know I wouldn't be there to help you alongSo I give you that name and I said goodbyeI knew you'd have to get tough or dieAnd it's that name that helped to make you strong"""" Yeah, he said, """"Now you just fought one hell of a fightAnd I know you hate me, and you got the rightTo kill me now, and I wouldn't blame you if you doBut you oughtta thank me, before I dieFor the gravel in your guts and the spit in the eye'Cause I'm the son of-a bitch that named you Sue Yeah, what could I do? What could I do?I got all choked up and I threw down my gunI called him my pa, and he called me his sonAnd I come away with a different point of viewAnd I think about him now and thenEvery time I try and every time I winAnd if I ever have a son, I think I'm gonna name himBill or George any damn thing but SueI still hate that nameYeah",country
Folsom Prison Blues,"I hear that train a comin', rollin' around the bendI ain't seen the sunshine since I don't know whenI'm stuck in Folsom prison, time keeps draggin' byBut when I hear that train a movin'God, I hang, I hang, I hang my head and cry You know, I bet there's rich folks eatin' in a fancy dining carThey're drinking Jack Daniels whiskey, smoking big caboose cigarsStuck in Folsom prison, time keeps draggin' onEvery time I think of them womenGod, I think of good ol' San Antone, yeah Well, now when I was just a baby, baby, my mama told meSon, you oughta be a good boy, Jerry, don't ever play with gunsShot a boy in Memphis, I didn't mean just to watch him dieOh, when I think of good ol' Memphis, TennesseeI hang my head and I cry Now if they freed me from this prison, if that railroad train was mineI'd move it on just a little further down the lineFar from Folsom prison, that's where ol' killer needs to be'Cos them women keep on movin'And Lord, Lord, and that's what tortures Jerry Lee My God, they ain't gonna free me from this prisonAnd that railroad train ain't mineI know they're never gonna let ol' Jerry get no further down the lineFar from Folsom prison, that's where I ain't gonna beWoo, them women keep on movin'My God, that tortures rockin' Jerry Lee",country
Give My Love to Rose,"I found him by the railroad track this morningI could see that he was nearly deadI knelt down beside him and I listenedJust to hear the words the dying fellow said He said, """"They let me out of prison down in FriscoFor ten long years I've paid for what I've doneI was trying to get back to LouisianaTo see my Rose and get to know my son Give my love to Rose, please, won't you, misterTake her all my money, tell her to buy some pretty clothesTell my boy his daddy's so proud of himAnd don't forget to give my love to Rose Won't you tell them I said thanks for waiting for meTell my boy to help his mom at homeTell my Rose to try to find anotherFor it ain't right that she should live alone Mister, here's a bag with all my moneyIt won't last them long the way it goesGod bless you for finding me this morningAnd don't forget to give my love to Rose Give my love to Rose, please, won't you, misterTake her all my money, tell her to buy some pretty clothesTell my boy that daddy's so proud of himAnd don't forget to give my love to Rose""""",country
God's Gonna Cut You Down,"You can run on for a long timeRun on for a long timeRun on for a long timeSooner or later God'll cut you downSooner or later God'll cut you down Go tell that long tongue liarGo and tell that midnight riderTell the rambler, the gambler, the back biterTell 'em that God's gonna cut 'em downTell 'em that God's gonna cut 'em down Well, my goodness gracious, let me tell you the newsMy head's been wet with the midnight dewI've been down on bended kneeTalkin' to the man from GalileeHe spoke to me in the voice so sweetI thought I heard the shuffle of angel's feetHe called my name and my heart stood stillWhen he said, """"John go do My will!"""" Go tell that long tongue liarGo and tell that midnight riderTell the rambler, the gambler, the back biterTell 'em that God's gonna cut 'em downTell 'em that God's gonna cut 'em down You can run on for a long timeRun on for a long timeRun on for a long timeSooner or later God'll cut you downSooner or later God'll cut you down Well, you may throw your rock, hide your handWorkin' in the dark against your fellow manBut as sure as God made black and whiteWhat's down in the dark will be brought to the light You can run on for a long timeRun on for a long timeRun on for a long timeSooner or later God'll cut you downSooner or later God'll cut you down Go tell that long tongue liarGo and tell that midnight riderTell the rambler, the gambler, the back biterTell 'em that God's gonna cut you downTell 'em that God's gonna cut you down Tell 'em that God's gonna cut you down",country
Hurt,I hurt myself todayTo see if I still feelI focus on the painThe only thing that's realThe needle tears a holeThe old familiar stingTry to kill it all awayBut I remember everything What have I becomeMy sweetest friendEveryone I know goes awayIn the endAnd you could have it allMy empire of dirtI will let you downI will make you hurt I wear this crown of thornsUpon my liar's chairFull of broken thoughtsI cannot repairBeneath the stains of timeThe feelings disappearYou are someone elseI am still right here What have I becomeMy sweetest friendEveryone I know goes awayIn the endAnd you could have it allMy empire of dirtI will let you downI will make you hurt If I could start againA million miles awayI would keep myselfI would find a way,country
I Walk the Line,"I keep a close watch on this heart of mineI keep my eyes wide open all the timeI keep the ends out for the tie that bindsBecause you're mine, I walk the line I find it very, very easy to be trueI find myself alone when each day is throughYes, I'll admit that I'm a fool for youBecause you're mine, I walk the line As sure as night is dark and day is lightI keep you on my mind both day and nightAnd happiness I've known proves that it's rightBecause you're mine, I walk the line You've got a way to keep me on your sideYou give me cause for love that I can't hideFor you, I know I'd even try to turn the tideBecause you're mine, I walk the line I keep a close watch on this heart of mineI keep my eyes wide open all the timeI keep the ends out for the tie that bindsBecause you're mine, I walk the line",country
Jackson,"We got married in a feverHotter than a pepper sproutWe've been talkin' bout JacksonEver since the fire went out I'm going to JacksonI'm going to mess aroundYeah, I'm going to JacksonLook out Jackson town We'll go on down to JacksonGo ahead and wreck your healthGo play your hand you big talkin' manAnd make a big fool of yourself Yeah, go to JacksonGo comb your hairHoney, I'm going to slow ball JacksonSee if I care When I breeze into that cityPeople gonna stoop and bowAll them women gonna make meTeach em' what they don't know how I'm going to JacksonYou turn and loosen my coatCause I'm going to JacksonGoodbye that's all she wrote And they'll laugh at you in JacksonAnd I'll be dancing on a pony kingThey'll lead you around town like a scolded houndWith your tail hung between your legs Yeah, go to JacksonYou big talkin' manAnd I'll be waiting in JacksonBehind my japan fan Well now, we got married in a feverHotter than a pepper sproutWe've been talkin' about JacksonEver since the fire went out I'm going to JacksonAnd that's a factYeah, we're going to JacksonAin't never coming back We got married in a feverHotter than a pepper sproutHoney we've been talking about Jackson",country
Man in Black,"Well, you wonder whyI always dress in blackWhy you never seeBright colors on my backAnd why does my appearanceSeem to have a somber tone?Well, there's a reason for the thingsThat I have on I wear the blackFor the poor and the beaten downLivin' in the hopelessHungry side of townI wear it for the prisonerWho has long paid for his crimeBut is there becauseHe's a victim of the times I wear the blackFor those who've never readOr listenedTo the words that Jesus saidAbout the road to happinessThrough love and charityWhy you'd think He's talkingStraight to you and me Well, we're doin' mighty fineI do supposeIn our streak of lightnin' carsAnd fancy clothesBut just so we're remindedOf the ones who are held backUp front there ought to beA man in black I wear itFor the sick and lonely oldFor the reckless onesWhose bad trip left them coldI wear the black in mournin'For the lives that could have beenEach week we loseA hundred fine young men And, I wear itFor the thousands who have diedBelievin' that the LordWas on their sideI wear it for anotherHundred thousand who have diedBelievin' that we allWere on their side Well, there's thingsThat never will be right, I knowAnd things need changin'Everywhere you goBut till we start to make a moveTo make a few things rightYou'll never see meWear a suit of white Ah, I'd love to wear a rainbowEvery dayAnd tell the worldThat everything's okayBut I'll try to carry offA little darkness on my backTill things are brighterI'm the man in black",country
