artist,song,lyrics,lyrics_url,genre
Shania Twain,You're Still the One,"When I first saw you, I saw loveAnd the first time you touched me, I felt loveAnd after all this time, you're still the one I love",https://www.last.fm/music/Shania+Twain/_/You%27re+Still+the+One/+lyrics,country
Shania Twain,You're Still the One,Looks like we made itLook how far we've come my babyWe mighta took the long wayWe knew we'd get there someday,https://www.last.fm/music/Shania+Twain/_/You%27re+Still+the+One/+lyrics,country
Shania Twain,You're Still the One,"They said, ""I bet they'll never make it""But just look at us holding onWe're still together still going strong",https://www.last.fm/music/Shania+Twain/_/You%27re+Still+the+One/+lyrics,country
Shania Twain,You're Still the One,(You're still the one)You're still the one I run toThe one that I belong toYou're still the one I want for life,https://www.last.fm/music/Shania+Twain/_/You%27re+Still+the+One/+lyrics,country
Shania Twain,You're Still the One,(You're still the one)You're still the one that I loveThe only one I dream ofYou're still the one I kiss good night,https://www.last.fm/music/Shania+Twain/_/You%27re+Still+the+One/+lyrics,country
Shania Twain,You're Still the One,Ain't nothin' betterWe beat the odds togetherI'm glad we didn't listenLook at what we would be missin',https://www.last.fm/music/Shania+Twain/_/You%27re+Still+the+One/+lyrics,country
Shania Twain,You're Still the One,"They said, ""I bet they'll never make it""But just look at us holding onWe're still together still going strong",https://www.last.fm/music/Shania+Twain/_/You%27re+Still+the+One/+lyrics,country
Shania Twain,You're Still the One,(You're still the one)You're still the one I run toThe one that I belong toYou're still the one I want for life,https://www.last.fm/music/Shania+Twain/_/You%27re+Still+the+One/+lyrics,country
Shania Twain,You're Still the One,(You're still the one)You're still the one that I loveThe only one I dream ofYou're still the one I kiss good nightYou're still the one,https://www.last.fm/music/Shania+Twain/_/You%27re+Still+the+One/+lyrics,country
Shania Twain,You're Still the One,(You're still the one)You're still the one I run toThe one that I belong toYou're still the one I want for life,https://www.last.fm/music/Shania+Twain/_/You%27re+Still+the+One/+lyrics,country
Shania Twain,You're Still the One,(You're still the one)You're still the one that I loveThe only one I dream ofYou're still the one I kiss good night,https://www.last.fm/music/Shania+Twain/_/You%27re+Still+the+One/+lyrics,country
Shania Twain,You're Still the One,I'm so glad we made itLook how far we've come my baby,https://www.last.fm/music/Shania+Twain/_/You%27re+Still+the+One/+lyrics,country
Johnny Cash,One,Is it getting betterOr do you feel the same?Will it make it easier on you nowYou've got someone to blame?,https://www.last.fm/music/Johnny+Cash/_/One/+lyrics,country
Johnny Cash,One,"You saidOne loveOne lifeWhen it's one needIn the nightOne love, we get to share itIt leaves you, baby, if you don't care for it",https://www.last.fm/music/Johnny+Cash/_/One/+lyrics,country
Johnny Cash,One,Did I disappoint youOr leave a bad taste in your mouth?You act like you never had loveAnd you want me to go without,https://www.last.fm/music/Johnny+Cash/_/One/+lyrics,country
Johnny Cash,One,"Well it'sToo lateTonightTo drag the past outInto the lightWe're one, but we're not the sameWe get to carry each otherCarry each otherOne",https://www.last.fm/music/Johnny+Cash/_/One/+lyrics,country
Johnny Cash,One,Have you come here for forgivness?Have you come to raise the dead?Have you come here to play JesusTo the lepers in your head?,https://www.last.fm/music/Johnny+Cash/_/One/+lyrics,country
Johnny Cash,One,"Did I ask too much?More than a lot?You gave me nothing, nowIt's all I gotWe're one, but we're not the sameWell, we hurt each other, and we're doin' it again",https://www.last.fm/music/Johnny+Cash/_/One/+lyrics,country
Johnny Cash,One,You said love is a templeLove the higher lawLove is a templeLove the higher lawYou ask me to enterBut then you make me crawlAnd I can't be holdin' onTo what you've gotWhen all you've got is hurt,https://www.last.fm/music/Johnny+Cash/_/One/+lyrics,country
